content,title,url
"Nongstoiñ, 4 ‘lyngkot:U wei u rangbah uba la tip kyrteng kum u Hambas Wahlang 35 snem, na ka shnong Umsaw Tyllang u la duh ei noh, ia la ka jong ka jingim hadien ba ka trok kaba u niah, ka la hap bad kylla noh ha kawei ka riat kaba jrong ha ka shnong Domshohksoiñ.Katkum ka tyllong khubor ba la ioh lum la ong ba katei ka jingjia kaba sngewsih ka la jia ha ka janmiet jong ka sngi Balang jong ka taiew, ha ka por kumba 4:00 baje janmiet ei ei ha kaba katei ka trok kaba don ia u Number ML 06 2432, ka la kylla bad hap noh shapoh riat.Shuh shuh ka tyllong khubor ka iathuh ruh ba nalor u nongniah uba la khlad noh hashen, ki dang don sa kumba lai ngut ei ei ki briew kiba shong lang ha katei ka trok, hynrei kitei ki lai ngut kila lait thaw na ka jingiap bad kila don pat ha pdeng jong ka jingmynsaw kaba jur.Ia kitei ki lai ngut la pynkit noh sha Civil Hospital Nongstoiñ ha kaba ki dang don mynta ha pdeng jong ka jingshah sumar hapoh bad na ka liang jong ki pulit ka Nongstoiñ haduh mynta ki dang iai pynlong ia ka jingtohkit kaba bniah ha kaba iadei bad katei ka bynta.","Iap u nongniah,  ba kylla ka trok sha riat",https://www.urupang.com/iap-u-nongniah-ba-kylla-ka-trok-sha-riat/
"Shillong, 4 ‘lyngkot:U President rangbah jong ka seng NPP uba dei ruh u MP (Lok Sabha) ka Tura u Conrad K Sangma haba kren ha ka jingialang paidbah jong ka seng NPP kaba la long mynta ka sngi ha madan Polo u la ong ba u tip ba u kpa jong u, U Purno A Sangma u peit ieid najrong ia ka jingshaniah ba ki paidbah ki ai ia ka seng NPP ka seng kaba u la thaw haduh ba da ki hajar ngut ki ia luim khrui ha madan Polo. “Nga tip ba u kpa jong nga u peit ieid najrong ia ngi, u sarong bad u kmen ba ka jingkylla kan wan ha kane ka jylla kumba u la angnud” ong u Conrad K Sangma.U Conrad u la ong ba haduh mynta mynne u dang bat ia ki jinghikai kiba u kpa jong u-u la hikai ia u shuwa ba un rung ha ka jylli ka saiñpyrthei, “Ki jinghikai jong u ki iai don hapoh dohnud bad hapoh jabieng jong nga manla ka sngi, u kpa jong u hikai ia nga shuwa ba ngan rung ha ka politik, u ong me la ioh ka lad ka lynti ban leit pule sha Delhi bad kylleng ki ri jong ka pyrthei ka dei lyngba ka jingailad jong ki paidbah hynrei kynmaw ba me dei ban siew kylliang ia ki paidbah kane ka jylla da kaba men trei na ka bynta jong ki ha ki kam babha jong me. Wat rung sha ka saiñpyrthei na bynta ka jingrhah bor ,wat rung na bynta ka kyrdan bad ka nam, wat rung na ka bynta ka pisa . Kita baroh kin wan hadien lada men trei shisha naduh mynsiem na ka bynta ki paidbah, wat ka pisa ruh lada me trei bha ki paidbah kin ai ia me” ong u Conrad haba batai ia ki jinghikai u kpa jong u.Shuh shuh u la ong ba u kpa jong u ryngkat kiwei pat ki nongialam ki don ka jingangnud bad ka jingthrang bad ka jingiohi jngai ba kin lah ban ialam ia u paidbah kane ka jylla sha ka thong kaba bha tam hynrei ia kane u la ong ba ka shong ha u paidbah ka jylla ban pynurlong ia ka thong jong ki lyngba kane ka elekshon MLA 2018, “Ka dei ka elekshon na ka bynta ka lawei jong ngi” u la ong.Kaba sngewsih eh u la ong ba ia katei ka jingangnud jong ki nongialam barim ki kpa tymmen ka dei ha kine ki khyndiat snem mynta ha kaba ka sorkar kaba bat ia ka bor synshar ka la pynjot ia kane ka jylla, “Ki briew kiba bat ia ka bor synshar ki la pynjot pynban ia ka jingangnud jong ki longshuwa jong ngi bad dei na katei ka daw ba baroh mynta ki ia phet seng bad ki wan sha ka seng NPP” ong u Conrad. U la kynthoh ia ka jingplie Civil Sub-Division, ka jingplie Police Station ka sorkar ha kaba u la ong la shu plie hynrei kim don pat ia la ka jong ka jaka treikam, “Ki Civil Sub-Division ki treikam na Inddor Stadium, ki Police Station na ki ing basa ka sorkar” u la ong.Kaba kham thamula u Conrad u la ong ba ha kine ki sngi u myntri rangbah ka jylla u Dr.Mukul Sangma u kwah tang ban don ka jingplie ne ka jingbuh mawnongrim ban pyni ia ka jingtreikam ka sorkar, “Ha kine ki sngi ki ophisar ki la phone ia nga ki la iathuh ba u myntri rangbah u la hukum ia ki ba kin wad jingtip kaei kaba donkam ban plie ha ri Lum Garo, ki ong ia nga ba ki jubab ba ym don eiei hynrei em u ong ka dei ban don wad beit ngin plie aiu” u la ong. U Conrad u la takraiñ ruh ia ka sorkar bad u ong ba ka dei ka sorkar ka bym don polisi naduh ka polisi ia ki samla , ka Sports ne ka kam shangkai pyrthei, “Haba y mdon polisi kumno kein yn ia pyntyllun ia ki kam” u la ong.Utei u nongialam ka NPP u la ong ba kan dei ka jingiaid lynti kaba jrong ia ka NPP ban wanrah jingkylla watla kan wan ha ka bor synshar ruh bad ka kham shim por hynrei u la ong ba ka NPP ka la buh ia ka thong ba dei ban lah beit ban pynkylla, “Kaei kaba u Dr.Mukul u la leh kam dei ka kam kaba suk ia ngi ban pynkylla hynrei kane kan dei pat ka jingiakhun jong ngi ba ngi dei ban lah ban pynkylla” u la ong.","U kpa jongnga u peit ieid najrong,  u sarong bad u kmen:Conrad",https://www.urupang.com/u-kpa-jongnga-u-peit-ieid-najrong-u-sarong-bad-u-kmenconrad/
"Shillong, 05 K’lyngkot:U Myntri Rangbah ka jylla u Dr Mukul Sangma, u la ther ia kito ki MLA khamtam ki myntri sorkar barim kiba dei ki paralok jongu, kiba kynnoh ba u dei u dictator ne nongsynshar donbor, da kaba ong ba kito ki dei kiba isih ia u bad ki kwah ban pynkhyllem na ka shuki.“Nga la shah kynnoh ba nga dei u nongsynshar donbor namar ba nga buddien man ka sngi ia ki kam na ka bynta u paidbah. Nga buddien hi ia ki projek surok, nga buddien ban pynneh ia ka suk ka sain bad namar kane ka daw, nga la shah kynnoh ba synshar donbor. Kampher namar ba nga kut jingmut ban trei na ka bynta u paidbah ban pynsted ia ki kam pynroi”, la ong u Dr. Mukul Sangma.U la ong ba namar ba u la trei shitom ban buddien ia ki kam pynroi, ka la pynlong ruh ia kiwei ban kynnoh ba u dei u Myntri Rangbah ka Ampati.U la ong ba ka jingpyntreikam ia ki skhim pynroi sha Garo Hills ka dei namar ba ha ki snem ba la dep naduh u snem 2000, ka dei kaba sahdien bha namar ba ka jingjur ki kam lehnoh haduh ba ki paidbah ki shem jingeh wat tang ban mih na iing hynrei ha kine ki khyndiat snem hadien ba u la wan kum u nongialam ka jinglong jingman ka la kylla sha kaba kham bha bad dei na kane ka daw, ba la ioh ban rah ban pyntreikam ia ki kam pynroi.U la buh jingkylli ruh ia kiba kynnoh ba u rah lut ia ki skhim sha Ampati, da kaba ong, hato niew katno tylli ki surok ba la pyntreikam, ka Shillong Bye pass, ka Shillong-Nongstoin, Tura, ka surok Shillong-Dawki, ka surok Mawphlang-Mawkyrwat tangba ka sahkut namar bym ai NOC ka KHADC baroh kine ki dei ha Khasi Hills. U la jer ruh ia ki surok sha Jaintia Hills, ka surok four lane ha Ri-Bhoi nalor kiwei pat.Halor ka jingkynnoh ba u sam skhim ri jingri T. 5 hajar tang ban thied vote ia ki paidbah, u Dr Mukul u la ong, “Kane ka dei ka skhim kaba ai sha ki paidbah, kam dei ba ngi thied ne pynbam pisa ia u paidbah”.U la ong ba ia kane ka skhim la pyntreikam ka sorkar na ka bynta ban kyntiew ia ka ioh ka kot jong ki briew ban lah ban ieng ha ki jong ki kjat kiba don ka jingthrang ban shim ia ka kam lajong.","“Ki ong Dictator, ba nga im sngi  ban trei shitom ia u paidbah”",https://www.urupang.com/ki-ong-dictator-ba-nga-im-sngi-ban-trei-shitom-ia-u-paidbah/
"Shillong, 04 ‘lyngkot:Ka tnad tohkit ba hakhlieh ka ri ka Central Bureau of Investigation (CBI) ka la pynngat mukotduma ia ka myntri sorkar jylla ka Kong Ampareen Lyngdoh kaba dei ka myntri ba bat ia ka tnad pule puthi ha u snem 2008-09 bad kumjuh ia u Additional Chief Secretary ba mynta, u bah P S Thangkhiew uba bat ia katei ka tnad ha utei u snem halor ka jingkynnoh donkti ban pyndam sia lieh ia ki mark jong ki samla ba ialeh ia ka kam nonghikai Assistant Teacher ha ki LP Skul sorkar ha u snem 2008-09.Ka CBI, Shillong ka la thoh ha ka 3 tarik Kyllalyngkot 2018 sha u Chief Judicial Magistrate, Shillong ia ka ejahar jong ka CBI case no. RC02022018A0001 ba ka la rejister ia ka mukotduma pyrshah ia ka Kong Ampareen Lyngdoh ka myntri PWD (B) ba mynta, ia u Bah PS Thangkhiew (IAS) , ia ka tnad Elementary & Mass Education, ka sorkar jylla bad ia kiwei pat ki bym jer kyrteng ha ka kyndon U/s 120B, 167, 466, 408, 34 jong ka Indian Penal Code (IPC) kaba iadei bad ki kam lehtuh bad ban shah set along.Ka CBI ka la shim kam ia kane ka jyrsieh hadien ba ka Kashari Meghalaya High Court ka la pynmih ia ka hukum ban rejister mukotduma ha kaba iadei bad ka kam iasylla, ka jingthok bad ka jingleh beain pyrshah ia ka myntri ka Kong Ampareen kaba bat ia ka tnad pule ha katei ka snem bad kumjuh ia u Bah PS Thangkhiew uba dei u IAS jong ka snem 1984 uba long u principal secretary ka tnad pule puthi ha katei ka snem.U Bah PS Thangkhiew u long mynta kum u additional chief secretary uba peit ia ka tnad kam pohiing ka jylla.Ka CBI ka la pynngat mukotduma ruh ia ka tnad Directorate ka Elementary and Mass Education bad ia ki briew bym jer kyrteng ha kane ka jyrsieh ha ka ejahar.Lah ban kdew ba ka Meghalaya High Court ha ka 2 tarik Naiwieng, 2017, ka la hukum ia ka CBI ban shimti ban pynlong ia ka jingtohkit ba la rejister da ka tnad pulit halor ka jingkynnoh leh buit tuh ia ka jingthungkam nonghikai ha ki LP skul sorkar ha u snem 2008-09.La kynnoh ba ka Kong Ampareen ka la bthah ia u director ka tnad pule ha katei ka snem u J D Sangma, bad ar ngut ki briew ban pyndam sia lieh ban pynheh bad pynrit mark ia kito ki nonghikai ba iakhun ia kane ka kam.Ka jingujor ka la kynnoh ba ka myntri da ka jingiasylla bad kiwei ki dkhot jong ka iing dorbar (MLA) ka la leh buit tuh ban pyndam da ka sia lieh ia ki mark ba ioh ki kandidet ba ialeh ia kane ka eksamin kam.Ka High Court ka la ong ba kane ka kam ka donkam ia ka jingtohkit kaba bniah bad kaba sani bha da ka tnad ba laitluid.","Pynngat mukotduma ka CBI,  ia ka Kong Ampareen",https://www.urupang.com/pynngat-mukotduma-ka-cbi-ia-ka-kong-ampareen/
"Shillong, 5’lyngkot:U Acting Syiem ka Hima Mylliem u la shaiong ngaiñ namar ka jingshah weng jong u na ka khet Acting Syiem kyndit kyndit ha ka Khasi Hills Autonomous District Council. Haba ia kren bad u Rupang u Pa”iem Ricky Nelson Syiem u la ong ba um don jingtip eiei shaphang ka jingthmu ban weng noh ia u na ka khet Syiem hynrei tang khyndiat minit shuwa ban wanrah ia ka hukum ba la weng noh ia u-u la ioh jingtip noh bad u la mih noh na ophis jong u. “Ngam don jingtip eiei shisha, hynrei tang mar ia ioh jingtip ba la weng noh ia nga, nga la mih noh napoh ophis shuwa ba kin wanrah ia ka hukum” ong u Pa’iem Ricky Nelson Syiem.U la ong ba ka district Council ka la shim ia ka rai ban weng noh ia u khlem da don kino kino ki lad jingpyntip lane ki jingpan jingshai na u halor kino kino ki jingujor, “ym shym la pan jingshai na nga, ym shym la don ka jingpan jubab lada don ki jingujor ruh hynrei la shu weng kyndit kyndit, ngam lah ban sngewthuh shuh ia kane” u la ong. U Pa’iem Ricky u la ong ba mynta u ioh ia ka jingkyrshan kaba 28 ngut na ki 41 ngut ki ba khraw ka Hima Mylliem hynrei ka District Council kam shym la kheiñ snep ia kane, “Kum u Acting Syiem ngam don eiei ban leh hynrei ngin hap ban pyrkhat ryngkat bad ki bakhraw balei ka jia kumne, khlem ki jingpan jingshai la shu weng jubor, kaei nga leh bakla, nga sngew kumba nga la leh bha, ngin ia peit aiu ngin leh nangne shakhmat” u la ong.",Shaiong u Acting Syiem ka Hima Mylliem ba shah weng,https://www.urupang.com/shaiong-u-acting-syiem-ka-hima-mylliem-ba-shah-weng/
"Shillong, 4 ‘lyngkot:8 ngut ki MLA kiba dang shu dep risaiñ ki la pyniasoh ialade mynta sha ka NPP ha ka jingialang bah kaba la long mynta ka sngi ha madan Polo. Kitei ki 8 ngut ki MLA kiba dang shu dep risaiñ ki long u bah Prestone Tynsong, u bah Rowell Lyngdoh, u bah Sniawbhalang Dhar, u bah Ngaitlang Dhar, u ma Comingone Ymbon, u bah Remington Pyngrope, u bah Stephan Mukhim bad u bah Hopeful Bamon. Ha katei ka jingialang kaba la don da ki hajar ngut ki paidbah ki la don ruh 10 ngut ki MDC kiba la leit ban ai soh sha katei ka seng bad kitei ki long 6 ngut na JHADC bad 4 ngut na KHADC.Ha katei ka jingialang ka NPP ka la pynbna ruh ia ki kyrtong jong ka ha ki 50 tylli ki konstitwensi na ki 60 tylli katba ia ki 10 tylli kiba dang sah pat ka la buhteng shuwa. Ki 10 tylli ki konstitwensi kiba ka NPP kam pat pynbna kyrtong ki long ka 6-Khliehriat, ka 15 Mawlai, ka 16-East Shillong, ka 18 West Shillong, ka 20 Mylliem, ka 23 Sohiong, ka 24 Mawphlang, ka 29 Sohra, ka 31 Mawthadraishan bad ka 53 Ampati.Ha katei ka jingialang paidbah ki la don jan baroh ki nongialam jong ka seng NPP bad kiba la ai jingkren ki long State President u Dr.W.R Kharlukhi uba la pynithuh ruh ia ki kyrtong, u bah Sniawbhalang Dhar, u bah Remingtin Pyngrope, u James K Sangma, u bah Rowell Lyngdoh, u Dy.Chief Minister ka jylla Manipur u Joykumar Yumnam, u bah Prestone Tynsong bad u President rangbah u Conrad K Sangma. La pynphuh pynphieng da ki nongshad tynrai na ri Lum Khasi , Jaintia bad Garo, la pynshongshit da ki sur jingrwai jong u bah Anthony Kongwang, ka Pynter Orchestra, ka kynhun jong ka Melomindz bad la pyllait paidbah ruh ia ka sur jingrwai elekshon ka seng NPP. [Pule kyrteng ki Kandidet sla 5].","Rung NPP 8 ngut ki MLA rim, 10ngut  ki MDC, 50 ngut ki kyrtong NPP",https://www.urupang.com/rung-npp-8-ngut-ki-mla-rim-10ngut-ki-mdc-50-ngut-ki-kyrtong-npp/
"Shillong, 04 ‘lyngkot:Ar tylli ki seng, ka CSWO bad ka TUR hapoh ka jingialam ka Kong Agnes Kharshiing bad ka Kong Angela Rangad ki la ujor ejahar pyrshah ia u MLA barim ka South Shillong u Bah Sanbor Shullai ha Sardar Police station halor ka jingkynnoh ba u thungkam beain ia ki khun lajong ha Meghalaya Legislative Assembly.Ha ka ejahar ba ki la ujor, la kynnoh ba katkum ka jinglap ka jingwad jingtip, ka la pyni ba u Bah Sanbor Shullai kum u shakri paidbah (MLA) u la thung kam ia la ka khun ka Evangeline Rabon kum ka Reviser bad ka Vanessa Rabon kum ka PA jong u Deputy Speaker ha ka Meghalaya Legislative Assembly Secretariat.Ki la kynnoh ba u la thungkam ruh ia u pyrsa jongu u Bah Ricky Shullai kum u Peon, shwa ba un shah jied MDC ka KHADC, ka lok jongu pyrsa ka M Rabon kum ka junior Watch & Ward, bad ia ka lok u M Rabon ka Gloria Hujon kum ka Receptionist bad ka pyrsa jongu ka Wansalan Shullai kum ka Asst Librarian ha ka Meghalaya Legislative Assembly Secretariat. Kane ka la long ka jingpyndonkam bakla ia ka bor jongu kum u nongmihkhmat paidbah kaba la kdew ba u leh beain.Ka CSWO bad ka TUR ka la kynnoh ba ka jingthung kam, kam iaid katkum ka kyndon thungkam hynrei la shu shim kabu da u Bah Sanbor kum u nongmihkhmat paidbah.“Ka kyndon 13 ka P.C. Act (Prevention of Corruption Act) ka la kdew ba u nongmihkhmat paidbah ba ka long beain ia u ban shim kabu kum u nongmihkhmat paidbah bad un hap ban tynjuh ha ka kti ka ain”, ki la ong.Kine ki ar seng ki la ong ba katkum ka RTI la kdew ba u Ricky Shullai u dang dei u peon ha Assembly watla u la shah jied MDC.“Nalor kata, Bah Sanbor Shullai u la kubur ba u la thungkam kumba la kren sha ki lad pathai khubor ha u Naiwieng 2017”, la ong kine ki ar seng.la ong ba ka jingslem ban ujor ejahar ka dei namar ba ki dang wad bniah shuh shuh halor ka rukom thungkam bad namarkata, ka ain ka dei ban leh ia kaba donkam pyrshah ia u Bah Sanbor.","Ejahar ka CSWO,TUR ia u Bah  Sanbor ba thungkam ia ki khun",https://www.urupang.com/ejahar-ka-cswotur-ia-u-bah-sanbor-ba-thungkam-ia-ki-khun/
"Shillong, 5 lyngkot:Ha ka Lah Sngi U Blei, ka sorkar Assam, ka la pynmih ia ka khana samari halor ka jingdon briew ha katei ka Jylla Assam bad katei ka la kynthup ia 1.9klur, kiba la ithuh ba ki dei ki nongshong shnong ba pura jong ka Assam bad kitei ki kynthup na ki 3.29klur kiba dei ki nongshong shnong jong katei ka Jylla.Halor katei ka mat, kumta ka KHNAM, ka la phah dorkhas mynta ka sngi, sha u myntri kam poh iing jong ka sorkar jylla, namar ba kin lah ban don kitei ki poiwir, ki ban thawlad ban rung sha ka Jylla bad ka daw ka long namar ba ka Assam, kan beh krad noh ia kitei ki poiwir, kiba don ha ka Jylla Assam.Ka KHNAM State Youth Wing, ka dawa ban pynkhlain namarkata ia ki bor pahara bad ba ki dei ban don ki pulit kiba khlain, ki ban pahara ha kitei ki khyrdop bad la dawa ruh ia ka sorkar Jylla, ba kan maham tyngeh ia ki kontraktor, ba kim bit ban wan rah nongbylla, khlem da pynthikna ia ki kot ki sla kiba biang jong ka jinglong nongshong shnong jong kitei ki briew kiba na shabar Jylla.","Husiar ia ki 3.29klur na Assam,  ong ka KHNAM sha u myntri",https://www.urupang.com/husiar-ia-ki-3-29klur-na-assam-ong-ka-khnam-sha-u-myntri/
"Shillong, 5 lyngkot:Ka Shnongpdeng Tourism Development Society, ka pyntip ba ha ka 8tarik mynta u bnai, kan khang ia ka jaka peit kai, namar kan don ka jing pynkyntang Lyndoh niam ne jingpynkyntang Father bad la kyrpad ia baroh ki nong wan kai ba kin nym wan ha katei ka sngi, ong ka kyrwoh na U Bah Wanbiang Lamin, Chairman STDS.","8tarik, ym shah leitkai ha Shnongpdeng",https://www.urupang.com/8tarik-ym-shah-leitkai-ha-shnongpdeng/
"Shillong, 5 lyngkot:U Ma ECB Bamon, ula pyniasoh ialade sha ka seng NCP mynta ka sngi bad ula rai ba un iakhun ia ka elekshon MLA 2018, na katei ka seng na Mookaiaw Constituency.U Ma Bamon, ha U Naitung 2017, ula mih ialade na ka seng NPP. U Ma Bamon, ula pyniasoh ialade sha ka seng NCP, ha kaba ula ialeh elekshon na katei ka seng ha u snem 2008 bad ula jop kum U MLA na katei ka seng.Ha ki khyndiat bnai ba ladep, U Ma Bamon, ula pyniasoh ialade sha ka seng BJP, hynrei, u sngew artatien ba un nym ioh tiket satia na katei ka seng ruh, hadien ka jing pyniasoh jong ki 4ngut ki MLA sha katei ka seng, ba kynthup ia U Ma Robinus Syngkon, uba dei U MLA ba dang shu iehnoh kam jong ka Mookaiaw.",U Ma Bamon sha NCP,https://www.urupang.com/u-ma-bamon-sha-ncp/
