english,khasi
Tom and Mary stayed friends after they broke up.,U Tom bad ka Mary ki dang dei shiparalok hadien ba ki la iakhlad.
"In fact, Tom told me never to come back to his house again.","Ha ka jingshisha, u Tom u iathuh ia nga ba ngam dei ban wan shuh ha iing jong u."
These pens are his.,Kine ki dei ki khulom jong u.
The window is here.,Ka jingkhangïit ka don hangne.
Ask Tom what his plans are.,Kylli i'u Tom kiei ki plan jong u.
Tom and Mary own the house up the street.,U Tom bad ka Mary ki dei ki trai jong katei ka ïing hangtei.
What are those called?,La khot kumno ia kito?
Tom is eating potato chips.,U Tom u bam chips.
"We often do what we have to do, not what we want to do.","Barabor ngi leh ia kaei ba ngi hap ban leh, ym dei ia kaei ba ngi kwah."
Tom has his own bedroom.,U Tom u don ka kamra thiah jong lajong.
The earth rotates.,Ka pyrthei ka shad pyllun.
We've got something.,Ngi don aiu-re-aiu.
I wonder whether Tom would let me drive.,Tip u Tom un ai ne kumno ianga ban ñiah.
Where are you trying to get to?,Phi mut ban leit shano?
Where is the toilet?,Haei ka painkhana?
I just need some aspirin.,Nga shu donkam katto-katne u aspirin.
Why do you need a comb if you're bald?,Phi donkam leh aiu ïa ka snat haba phi lyndum?
Where's the director?,Shaei i director?
How many miles is it from Boston to Chicago?,Katno miles na Boston sha Chicago?
Tom told his dentist that he brushes his teeth after every meal.,U Tom u ïathuh ia ka dentist jong u ba u shutbniat man ka ba u dep bam.
He plays beach volleyball.,U lehkai beach volleyball.
I haven't been here in three years.,Nga khlem poi hangne lah lai snem.
I know Tom is a strange guy.,Nga tip ba u Tom u long u briew uba khyllah.
Is this biodegradable?,Kane dei ba pyut?
He asked me a question.,U kylli ianga ka jingkylli.
"I told Tom I needed his help, so he helped me.","Nga iathuh ia u Tom ba nga donkam jingïarap na u, te u la ïarap."
How should I know?,Ngan tip kumno?
He came.,U wan.
My mother used to read me stories when I was a young kid.,I mei jong nga i shait iathuh khana ianga por ba nga dang rit.
Bear with me.,Iashah bad nga.
This chair is light.,Kane ka shuki ka sting.
Get down.,Nguh.
"Tom is Mary's cousin, isn't he?","U Tom u dei u para-bakha jong ka Mary, dei?"
I wanted Tom to play tennis with me.,Nga kwah ia u Tom ba un lehkai tennis bad nga.
Tom cuts his own hair.,U Tom u khap hi ia u shñiuh jong lajong.
Read this book.,Pule kane ka kot.
Tom hit me first.,U Tom u shoh shwa ianga.
It never occurred to me that Tom wouldn't want to go with us.,Kam pat ju jia ha nga ba u Tom um kwah ban leit bad ngi.
I don't think that Tom would be stupid enough to do something like that.,Ngam tharai re ba u Tom un bieij haduh katta katta ba un leh kumto.
I'm here because I have to be here.,Nga don hangne namar nga hap ban don hangne.
How weird is that?,Ka jingkhyllah!
Tom lives here now.,U Tom u sah shane mynta.
How am I going to impress Tom?,Kumno ngan pyniapbieij ia u Tom?
Tom told his dentist that he brushes his teeth after every meal.,U Tom u ïathuh ia i dentist jong u ba u shutbniat man ka ba u dep bam.
"Take me to this address, please.",�alam ianga shane ka jaka seh.
Can either of your parents speak French?,I mei lane i pa jong phi ki nang ban kren ktien french?
Tom wanted Mary to go away.,U Tom u kwah baka Mary kan leit noh.
Move quietly.,Iaid jarjar.
I was hoping Tom would want to do that.,Nga dang mut ba u Tom un kwah ban leh.
Speak up!,Kren eh.
Grab him.,Bat ia u.
How lovely!,Jingsngewtynnad!
I don't think Tom knows much about his neighbors.,Ngam tharai u Tom u tip bha shaphang ki paramarjan jong u.
Tell me.,Iathuh ianga.
Tom thinks that you can take care of yourself.,U Tom u mut ba phi lah ban sumar da lade ia lade.
Tom is going to hurt you.,U Tom un pynmynsaw ia phi.
It isn't that scary.,Kam da tieng.
My mother used to read me stories when I was a young kid.,I mei jong nga i ju iathuh khana ianga mynba nga dang khynnah.
Jesus loves you.,U Jisu u ieid iaphi.
Take cover!,Rieh!
We've got something.,Ngi don aiu-aiu.
I'm sorry. I didn't mean to imply anything.,Map. Nga khlem mut ban mut eiei.
My mother used to read me stories when I was a young kid.,I mei jong nga i shait iathuh khana ianga mynba nga dang rit.
Pick it up.,Tam.
Where is the toilet?,Shaei ka painkhana?
He asked me a question.,U kylli ianga kawei ka jingkylli.
Why do I need to learn French?,Balei ba nga hap ban nang french.
I'm OK for now.,Nga biang ia mynta.
Are you crazy?,Lah bieij?
I'm not sure who has my suitcases.,Ngam thikna mano ba bat ka suitcase nga.
Help me.,Iarap ianga.
Who else do you miss?,Iano pat phi kynjah?
There is no necessity for you to do that.,Ym donkam ban leh iakata.
Why don't you like me?,Balei phim sngewtynnad ianga?
Are you going to shoot me?,Men siat ïanga?
How do you know Tom is there?,Kumno me tip u Tom u don hangto?
Are these your shoes?,Kine kidei ki juti jongphi?
Give me a piece of chalk.,Ai chalk.
That's impossible.,Bymlahlong!
Did anybody come?,Don mano mano ba wan?
You seem to be waiting for someone.,Phi i kumba phi ap iano iano.
I have nothing to tell you about it.,Ngam don eiei ban ïathuh ïa phi.
We were pretty thorough.,Ngi lah leh bniah bha.
Ask Tom.,Kylli na u Tom.
He is in need of money.,U don ha ka jingdonkam pisa.
Why didn't you ever tell me that?,Balei phim ju iathuh ianga shaphang kata?
Tom borrowed some money from us.,U Tom u pankylliang pisa na ngi.
Look there.,Peit hangto.
Her mother lives in the country all by herself.,Ka kmie jong ka ka sah sha nongkyndong dalade.
Give me the keys.,Ai u shabi ha nga.
I hope that Tom isn't going to be the one who does the driving.,Donbok ba u Tom un nym dei u ban ñiah ia ka kali.
Tom said that he didn't want to live in Boston anymore.,U Tom u ong ba um kwah shuh ban sah ha Boston.
Look behind you.,Peit hadien jong me.
Don't you want to sit with me?,Phim kwah shong bad nga?
These animals are friendly.,Kine ki mrad ki long paralok bha.
Freeze!,Sangeh!
I don't like talking with strangers.,Ngam sngewtynnad ban iakren bad ki nongwei.
"Me, too.",Nga ruh.
The moon has set.,U bnai u lah sep.
What'll change?,Kaei ka ban kylla?
Please don't tell us what to do.,Sngewbha nai ïathuh ïangi kaei ban leh.
You can't escape from me.,Phan ym lah ban lait nanga.
Hello!,Kumno!
I can't believe that you did all this without any help.,Ngam lah ngeit ba phi leh ia kane baroh khlem jingïarap.
We've been to Australia many times.,Ngi lah poi bunsien sha Australia.
He is in need of money.,U donkam pisa.
Tom came here last night.,U Tom u wan hangne mynnin ka miet.
Please try one.,Sngewbha try uwei.
Do you know what this is all about?,Phi tip dei shaphang kaei kine baroh?
Merry Christmas!,Krismas basuk.
Drive slowly.,Ñiah suki.
Where's the director?,Shaei ka director?
I'll do what must be done.,Ngan leh ia kaei kaba dei ban leh.
Tom didn't come home until 2:30.,U Tom um shym wan ïng haduh 2:30.
I still can't remember the words to that song.,Ngam pat lah re ban kynmaw iaki kyntien kato ka jongrwai.
Where can I get some ice?,Naei ngan ïoh thah?
Tom didn't want to go there alone.,U Tom um kwah ban leit shato marwei.
Tom is more gullible than Mary is.,U Tom u kham ngeit biej ban ia ka Mary.
"It's your money, isn't it?","Dei ka pisa jongphi, em?"
Stop that!,Wat leh kumto!
"When the house caught fire, an awful feeling came over me.","Mynba ka ïng ka ing, ka jingsngewma ka wan ha nga."
Leave it behind.,Ieh shadien.
That was unfortunate.,Kata kalong kaba sniewbok.
I've been up all night writing.,Nga shong baroh shi miet thoh jingthoh.
Watch out!,Da peit bha!
I found the key.,Nga lah shem u shabi.
Never mind!,Lah biang.
What are those called?,La khot aiu ia kito?
Tom thinks that you can take care of yourself.,U Tom u pyrkhat ba phi lah ban sumar da lade ia lade.
Everyone laughed.,Baroh ki rkhie.
I'll be right in here.,Ngan don hangne.
Tom had never thought of that before.,U Tom um pat mutdur ia kata hasuhwa.
I'll take my dog out for a walk.,Ngan ïalam kai ïa u ksew.
I don't want to go to school.,Ngam kwah ban leit sha skul.
Tom came here last night.,U Tom u wan hangne mynnin mynmiet.
Tom wanted to be the first one to get off the bus.,U Tom u kwah long ba nyngkong ban hiar na bus.
I don't like this paper. It's too shiny.,Ngam sngewtynnad iakane ka kot. Ka shai palat.
Eat everything.,Bam baroh.
Choose one.,Jied kawei.
How should I know?,Kumno ngan shu tip?
Step back.,Shadien.
He is eight.,U don phra snem.
Who cooked?,Mano ba shet?
I don't know how to swim.,Ngam nang ban jngi.
I've lost my briefcase.,Nga lah pynjah ia ka briefcase.
Good luck.,Donbok!
I don't want to disturb you.,Ngam kwah ban pynthut iaphi.
Stop reading.,Lahbiang ka pule.
Tom said it was all like a dream.,U Tom u ong ba dei tang ka jingphohsniew.
Tom had no idea that Mary was planning to stay in Australia for three more days.,U Tom um bna eiei ba ka Mary ka mut sah sha Australia sa lai sngi.
You don't know the system.,Phim tip iaka system.
I'll never understand it.,Ngan ym sngewthuh ia kata.
That book is a new book.,Kane ka kot kadei ka kot thymmai.
My battery is about to die.,Lah jan lut u battery jongnga.
What are you doing?,Phi leh aiu?
Didn't you know that Tom was Canadian?,Phim tip ba i Tom i dei nong-Canada?
Tom would never leave his family.,U Tom un ym mih noh na kane ka longïing.
Tom didn't tell anybody that he wanted to do that.,U Tom u khlem iathuh iano iano ba u kwah ban leh ia kata.
Where did you see that?,Haei phi iohi ia kata?
Tom has no idea what he's doing.,U Tom um tip eiei ba u leh.
About how many days will you be in Boston?,Kumba katno sngi men don ha Boston?
She picked flowers.,Ka tam syntiew.
I'm not usually picky about food.,Nga bam naphang.
Are these your shoes?,Kine kidei ki juti jongpha?
Tom knew he was supposed to do that yesterday.,U Tom u tip ba u dei ban leh mynnin.
Could you write that down for me?,Long phin thoh?
Tom is going to hurt you.,U Tom un pynmong ia me.
Tom said you have to be more careful.,U Tom u ong ba phi hap ban long kham husiar.
I can't believe that you did all this without any help.,Ngam lah ban ngeit phi leh ia kane baroh khlem jingïarap.
Definitely!,Thikna!
I'm so sleepy.,Nga sngew shoh samthiah shibun.
I bought a pen for your birthday present.,Nga thied u khulom na bynta ka sngikha jongphi.
Tom can't believe Mary is really planning to go.,U Tom um lah ngeit ba ka Mary ka mut shisha ban leit.
My mother used to read me stories when I was a young kid.,I mei jong nga i ju iathuh khana ianga por ba nga dang rit.
This is difficult.,Kane ka long kaba eh.
Why did you agree?,Balei phi mynjur?
Step aside.,To khyndiat.
Everyone has been affected.,Baroh lah shah ktah.
What do you want?,Aiu phi kwah?
Do you think I'm making a mistake?,Phi mut ba nga leh bakla?
Tom is going to hurt you.,U Tom un pynmong ia phi.
We need to go back.,Ngi donkam ban leit phai.
This is extremely important.,Kane ka dei kaba donkam palat.
I extended my holiday.,Nga lah pynjlan iaka shuti.
My mother used to read me stories when I was a young kid.,I mei jong nga i ju iathuh khana ianga por ba nga dang khynnah.
They called you.,Ki la khot iaphi.
She walks.,I iaid.
It has been ten years since my father passed away.,Lah don shiphew snem naduh ba khlad i pa.
I have no energy.,Ngam don bor.
That man stole my purse.,Uta u briew u tuh ia ka pla jong nga.
I've got one just like that.,Nga don kum kato.
We want what's best for you.,Ngi kwah kaba bha na ka bynta jong phi.
Please don't tell us what to do.,Sngewbha nai ïathuh ïangi kaei ba dei ban leh.
I think I may know where to find Tom.,Nga tharai nga tip shano ban wad i'u Tom.
Tom smiled when Mary looked at him.,U Tom u rkhie mynba ka Mary ka peit ia u.
I'm a house painter.,Nga dei nongñiadrongïing.
Look back!,Phai shadien!
Tom is the strongest.,U Tom u long uba khlaiñ tam.
What would you like me to call you?,Phi kwah ngan khot kumno iaphi?
Tom shaved.,U Tom u lah khur.
I've been to Boston numerous times.,Nga lah poi sha Boston katto katne sien.
Smile.,Rymmuiñ.
Where would you like to go?,Shano phi kwah ban leit?
She walks.,Ka iaid.
You're just not the person I thought you were.,Pham dei ka briew kaba nga mut ba pha dei.
Tom didn't do anything wrong.,U Tom u khlem leh eiei ba bakla.
Tom is the guy Mary is dating.,U Tom u dei u briew uba ka Mary ka ialang.
Hide.,Rieh.
I just say what Tom tells me to say.,Nga shu ong ia kaei kaba u Tom u ong ianga ban ong.
"Hello, Tom.",Tom!
The student refused to obey his teacher.,U khynnah u saitlah ban ngeit ia ka nonghikai.
Tom lowered his voice to a whisper.,U Tom u pynrit ia ka sur ban pasiaw.
This is difficult.,Kane ka long kaba jynjar.
What kind of a person are you?,Phi dei jait briew ba kumno?
It's still crowded.,Ka dang khapñiah.
I didn't expect to see Tom in Boston.,Ngam poi pyrkhat ban iohi ia u Tom ha Boston.
I am eating rice.,Nga dang bam ja.
How do people like you get to be people like you?,Kumno sa don ki jaid briew kum mapha?
Do you want to come sit by me?,Phi kwah ban wan shong bad nga?
Didn't you know that Tom was Canadian?,Pham tip ba i Tom i dei nong-Canada?
I don't know him.,Ngam ithuh ia u
I know that Tom would do that if he could.,Nga tip ba u Tom un leh kumta lada u lah.
I love you.,Nga ieid iapha.
Tom apologized for not doing what he promised he'd do.,U Tom u panmap ba u khlem leh ia kaei kaba u lah kular ban leh.
Where do they do that?,Haei ki shait leh?
Just get up.,Shu khie joit.
He kicked it.,U kynjat iaka.
Are you deaf?,Phi kyllut?
Please keep your voice down.,Sngewbha jarjar.
Tom said that he thought I might not need to do that today.,U Tom u mut ba nga lah ban ym donkam ban leh ia kata mynta ka sngi.
Tom confessed that he had broken the window.,U Tom u la phla ba u la pynpra ia ka jingkhangït.
I laughed.,Nga rkhie.
I knew Tom wouldn't do that for us.,Nga tip ba u Tom un nym leh kato na bynta jong ngi.
You can't escape from me.,Men nym lah ban lait nanga.
Tom and John pretended to be brothers.,U Tom bad u John ki ia leh kumba dei shipara.
Tom was only teasing.,U Tom u shu pynshrai.
This job isn't as easy as it looks.,Kane ka jingtrei kam suk kumba phi ïohi.
After you.,Maphi shwa.
I think that Tom is fat.,Nga tharai u Tom u sngaid.
She looked at me.,I peit ianga.
How annoying!,Ni wit!
Go.,Khie.
Tom said that he thought I might not need to do that today.,U Tom u mut ba nga lah ban ym donkam ban leh kumta mynta ka sngi.
Tom is still paying attention.,U Tom u dang pynleit jingmut.
You can go if you want to.,Me lah ban leit lada me kwah.
I just say what Tom tells me to say.,Nga shu ong katba u Tom u phah ianga ban ong.
Where do they do that?,Haei ki leh kata?
Seriously?,Shisha?
Watch out!,Da peit!
Even if my house catches fire it would soon be put out.,Watla ka ïing jongnga ka kem ding tang shiphang kan sa shah pynlip.
Tom confessed that he had broken the window.,U Tom u la phla ba u la pynpait ia ka jingkhangït.
"You'll cook for us tonight, won't you?","Phin shet na ka bynta jongngi mynta ka miet, em?"
I want you to read this book.,Nga kwah iaphi ba phin pule kane ka kot.
He jumped over a ditch.,U kynthih ia ka thliew.
Tom didn't tell anybody he wanted to do that.,U Tom u khlem iathuh iano iano ba u kwah ban leh ia kata.
How annoying!,Wit!
Where are you?,Haei phi don?
It didn't work out quite like I intended it to.,Ka khlem da long kumba nga mut.
We try.,Ngi pyrshang.
Are you deaf?,Me kyllut ne?
"A long time ago when Pluto was still a planet, there was a boy named Tom.","Mynshuwa haka por ba u Pluto u dang dei u planet, don u khynnah ba kyrteng Tom."
"Take me to this address, please.",�alam ianga shane seh.
Pull it open.,Tan kan plie.
I wanted what Tom had.,Nga kwah ia kaei kaba u Tom u ju don.
Do you know how much profit we made?,Phi tip katno ngi lah iohnong?
We want what's best for you.,Ngi kwah kaba bha iaphi.
Smoke appeared.,Ka paw ka tdem.
Everybody knows me.,Baroh ki tip ianga.
I know that Tom isn't in Boston.,Nga tip ba u Tom um don ha Boston.
Tom began to move.,U Tom u sdang ban khih.
Tom fell down the stairs.,U Tom u hap naki mawstep.
Are you deaf?,Pha kyllut ne?
Who's hungry?,Mano thngan?
I hate voice messages.,Nga isih ia ki voice message.
I should never have left Boston.,Nga lah dei ban nym mih na Boston.
You should let Tom win.,Phi hap ban ai lad ia u Tom ba un jop.
Why can't animals talk?,Balei ki mrad kim lah ban kren?
Your room is twice the size of mine.,Ka kamra jongphi ka heh arshah ia ka jongnga.
What is wrong with me?,Jia aiu ia nga?
I lied for Tom.,Nga thok ia u Tom.
Tom will make you happy.,U Tom un pynkmen ïaphi.
Please come again soon.,Sa da wan biang.
"It's your money, isn't it?","Ka dei ka pisa jongphi, em?"
Tom came to see me on Monday.,U Tom u wan iakynduh ianga mynsnginyngkong.
Drive safely.,Ñiah bha.
Get away!,Shuh!
It didn't just affect me.,Ka khlem ktah tang ianga.
Almost no one knows we're brothers.,Jan baroh kim ia tip ba ngi dei shipara.
Why would they need to do that?,Balei ki donkam ban leh kumta?
It's different here.,Ka pher hangne.
Didn't you know Tom lived in Boston when he was a child?,Phim tip ba u Tom u sah ha Boston mynba u dang khynnah?
We've come home.,Ngi la wan iing.
We often eat fish raw in Japan.,Ha Japan bunsien ngi bam im ia ka dohkha.
Stop yelling!,Wat hylla!
This is very good.,Ka bha bha kane.
Glass breaks easily.,Ka ïit ka pait suk.
I remember that.,Nga kynmaw ia katei.
I want everyone to know what happened.,Nga kwah ba baroh kin tip jia aiu.
Give me the keys.,Ai ianga u shabi.
Please try one.,Sngewbha pyrshang kawei.
Didn't you know that Tom was Canadian?,Pham tip ba u Tom u dei nong-Canada?
This job isn't as easy as it looks.,Kane ka kam kam suk kumba phi ïohi.
Tom is being forced to do that.,U Tom u la shah pynbor ban leh kumta.
Is this lake deep?,Ka jylliew kane ka nan?
I remember that.,Nga kynmaw ia katai.
Tom is liked by his friends.,I'u Tom la sngewtynnad da ki paralok jong u.
She sat on the bed as her mother braided her hair.,Ka shong ha jingthiah katba ka kmie jong ka ka pynthaiñ ia u shnñiuh jong ka.
What time is it now?,Katno baje mynta?
It was only a bad dream.,Dei tang ka jingruma.
Stand up!,Ieng!
I don't know if Tom is coming or not.,Ngam tip u Tom un wan ne em.
Come in.,Wan shapoh.
How lucky can one guy get?,Lah shu bhabok.
I saw Tom running down the street.,Nga iohi u Tom u mareh shathie.
Didn't you know that Tom was Canadian?,Phim tip ba u Tom u dei nong-Canada?
Hurry up.,Kloi.
They're looking for Tom in Australia.,Ki dang ia wad ia u Tom ha Australia.
Tom seemed to be unable to win.,U Tom u i kumba un ym lah ban jop.
Tom doesn't walk to school with the other kids.,U Tom um ju iaid sha skul bad kiwei kiwei ki khynnah.
Didn't you know Tom lived in Boston when he was a child?,Phim tip ba u Tom u sah ha Boston por ba u dang khynnah?
I have nothing to tell you about it.,Ngam don eiei ban ïathuh ïa me.
Will you please go there?,Phim sngewbha leit re shata?
I know how busy you are.,Nga tip ba me bun kam.
Tom was even busier than I was.,U Tom u kham bunkam ban ia nga.
I know how busy you are.,Nga tip ba phi bunkam.
I'm very pleased to be here.,Nga sngewbha shibun ban don hangne.
Relax.,Jaijai.
Tom says he wants to do that as well.,U Tom u ong ba ma u ruh u kwah leh ia kato.
You're dishonest.,Me thok.
Remember it.,Da kynmaw.
My name is Tom.,Nga kyrteng Tom.
Where did you see that?,Haei phi iohi ia kato?
I want to eat something that's good for me.,Nga kwah ban bam aiu re aiu ba bha na bynta jong nga.
It isn't that scary.,Kam da i tieng.
I know that Tom doesn't know anyone who does that.,Nga tip ba u Tom um ithuh iano-iano ba leh ia kata.
Thank you for volunteering.,Khublei ba phi pyniarap lem.
I was looking for the barbershop.,Nga dang wad dukan khapsñiuh.
People are speaking at the same time.,Ki briew ki iakren ha kajuh ka por.
Tom wanted to eat some ice cream.,U Tom u kwah bam thah.
Am I still your boyfriend?,Nga dang dei u samla jong phi?
I love you.,Nga ieid iaphi.
Tom is eating potato chips.,I Tom i bam chips.
What is your name?,Kyrteng kumno phi?
"I needed to talk to Tom, so I went over to his house.","Nga donkam ban ia kren bad u Tom, te nga leit sha iing jong u."
This book is easy for me to read.,Kane ka kot ka suk ianga ban pule.
We did our best to help them.,Ngi la leh katba ngi lah ban ïarap ïaki.
"Tom is Mary's older brother, isn't he?","U Tom u dei u hymmen ka Mary, dei?"
What are those numbers?,Kito kidei ki nombar aiu?
That man stole my purse.,Utei u briew u tuh ia ka pla jong nga.
Tom had never thought of that before.,U Tom um pat pyrkhat shaphang kata hasuhwa.
Please try one.,Sngewbha try iwei.
Tom threw a rock at one of my dogs.,U Tom u kawang maw ia uwei na ki ksew jongnga.
Tom is just finishing setting up.,U Tom u dang shu dep pynkhreh.
We'll go to any length to send our child to a good university.,Ngin leh katba lah ban phah ia i khun jongngi sha ka iuniversity ba bha.
Get up.,�eng joit.
What do you like to be called?,Phi kwah ban shah khot kumno?
Tom said that he wanted to sit next to me.,U Tom u ong u kwah shong ha syndah jong nga.
She teased him.,Ka pyndom ia u.
I didn't have any money and couldn't buy any food.,Ngam don pisa eiei bad ngam shem lah ban thied jingbam eiei.
I lost.,Nga rem.
She cried.,I ïam.
"If you know the answer to this question, please tell me.","Lada phi tip ka jubab iakane ka jingkylli, sngewbha iathuh ianga."
I didn't tell everyone.,Nga khlem iathuh ia baroh.
You seem to ask Tom a lot of questions.,Phi i kumba phi kylli ia u Tom bun jingkylli bha.
Why did you try to run away?,Balei pha pyrshang ban phet?
Are you crazy?,Me lah bieij ne?
This book isn't as interesting as the one I read last week.,Kane ka kot kam da sngewtynnad kum kato kawei ka kot kaba nga pule mynshymtaïew.
Tom put his pistol under the pillow.,U Tom u buh iaka suloi hapoh u syngkhlieh.
This is extremely important.,Kane ka dei kaba donkam shibun.
It's hot today.,Ka shit mynta ka sngi.
How many tickets do you want?,Katno tylli ticket phi kwah?
She will give a party next week.,Kan sa ai party la shem taiew.
Where are you trying to get to?,Phi mut ban leit shaei?
I could never fool you.,Ngam lah thok ïame.
Who are you?,Phi dei mano?
I'm looking forward to seeing you and your family.,Nga kyrmen ban iakynduh ia phi bad ka longïing jong phi.
Tom said that he wanted to sit next to me.,U Tom u ong ba u kwah shong ha syndah jong nga.
What languages do you know?,Phi nang ktien aiu?
Sit down.,Shong.
What were you doing at that time?,Pha leh aiu katto baje?
I don't want to know anything about Tom.,Ngam kwah ban tip eiei shaphang u Tom.
How do you use this camera?,Kumno la pyndonkam iakane ka kamera.
